Gardevoir (Mega),57.5,282,psychic,fairy,286.5,205,154,9047606,50,5101,Charge Beam,Dazzling Gleam,Psychic,5,5,5,75000
Blastoise (Mega),57.3,9,water,none,234.4,211.8,170,8439611,50,4455,Bite,Flash Cannon,Hydro Cannon,35,20,3,10000
Sceptile (Mega),56.6,254,grass,dragon,281.5,168.9,157,7464647,50,4585,Bullet Seed,Aerial Ace,Breaking Swipe,4,3,3,10000
Aerodactyl (Mega),52.2,142,rock,flying,258,189.1,172,8389153,50,4655,Bite,Ancient Power,Earth Power,23,28,5,75000
Absol (Mega),49.4,359,dark,none,276.5,121.8,149,5019020,50,3732,Psycho Cut,Brutal Swing,Dark Pulse,4,6,5,75000
Beedrill (Mega),48.7,15,bug,poison,267.2,137,149,5453430,50,3824,Bug Bite,Aerial Ace,Drill Run,14,15,1,10000
Mawile (Mega),46,303,steel,fairy,170.6,194.9,127,4223344,50,2691,Astonish,Iron Head,Play Rough,5,6,5,75000
Abomasnow (Mega),44.4,460,grass,ice,214.3,173.1,186,6899047,50,3850,Leafage,Blizzard,Energy Ball,11,8,3,50000
Glalie (Mega),43.2,362,ice,none,224.4,153.8,172,5934164,50,3651,Frost Breath,Avalanche,Gyro Ball,9,12,3,50000
Banette (Mega),41.7,354,ghost,none,274.8,147.1,148,5980208,50,4063,Hex,Dazzling Gleam,Return,5,6,3,50000
Kangaskhan (Mega),37.9,115,normal,none,219.3,189.1,208,8624921,50,4353,Low Kick,Brick Break,Crunch,8,9,3,50000
Medicham (Mega),37.1,308,fighting,psychic,184.9,163,142,4279386,50,2821,Counter,Dynamic Punch,Ice Punch,8,7,3,50000
Manectric (Mega),31.1,310,electric,none,252.9,163,157,6473462,50,4048,Charge Beam,Flame Burst,Overheat,5,5,3,50000
Audino (Mega),28.3,531,normal,fairy,136.1,213.4,205,5956228,50,2853,Pound,Body Slam,Dazzling Gleam,9,14,3,50000
Sableye (Mega),24.6,302,dark,ghost,139.5,194.1,127,3438686,50,2196,Feint Attack,Dazzling Gleam,Foul Play,10,7,5,75000
