Pokemon,Score,Dex,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,CP,Fast Move,Charged Move 1,Charged Move 2,Charged Move 1 Count,Charged Move 2 Count,Buddy Distance,Charged Move Cost
Pidgeot (Mega),66.6,18,normal,flying,190.4,126.2,136,3268230,25,2496,Air Slash,Aerial Ace,Air Cutter,5,4,1,10000
Heracross (Mega),65.8,214,bug,fighting,197.4,136.3,117,3146759,19,2498,Counter,Close Combat,Earthquake,8,11,3,50000
Venusaur (Mega),65.5,3,grass,poison,165,173.7,132,3781911,25,2500,Razor Leaf,Frenzy Plant,Petal Blizzard,12,17,3,10000
Gallade (Mega),65.4,475,psychic,fighting,198.3,144.6,109,3125434,20,2500,Charm,Close Combat,Leaf Blade,8,6,5,75000
Sableye (Mega),65.2,302,dark,ghost,139.5,194.1,127,3438686,50,2196,Feint Attack,Dazzling Gleam,Foul Play,10,7,5,75000
Latias (Mega),64.7,380,dragon,psychic,171.8,180.5,117,3627703,19,2496,Charm,Mist Ball,Outrage,10,10,20,100000
Audino (Mega),63.8,531,normal,fairy,126.8,200,192,4868922,39.5,2485,Pound,Body Slam,Dazzling Gleam,9,14,3,50000
Pinsir (Mega),63.1,127,bug,flying,194.9,151,109,3207297,22,2500,Bug Bite,Close Combat,Submission,15,17,5,75000
Diancie (Mega),63,719,rock,fairy,212.9,150.6,90,2885639,20.5,2488,Rock Throw,Moonblast,Power Gem,12,10,20,100000
Slowbro (Mega),61.2,80,water,psychic,151.4,180.5,150,4099967,24.5,2492,Confusion,Ice Beam,Psychic,5,5,3,50000
Rayquaza (Mega),60.9,384,dragon,flying,204.6,118.3,126,3050557,15.5,2500,Air Slash,Aerial Ace,Ancient Power,5,5,20,100000
Tyranitar (Mega),60.5,248,rock,dark,172.4,160.3,130,3592171,17,2493,Bite,Brutal Swing,Crunch,18,23,5,75000
Beedrill (Mega),60.4,15,bug,poison,213.8,113.1,120,2902808,27,2499,Bug Bite,Aerial Ace,Drill Run,14,15,1,10000
Blastoise (Mega),58.1,9,water,none,173.6,158.9,130,3585998,23,2495,Bite,Flash Cannon,Hydro Cannon,35,20,3,10000
Garchomp (Mega),57.9,445,dragon,ground,188.9,127.2,137,3293086,17,2500,Dragon Tail,Earthquake,Earth Power,8,7,5,75000
Aerodactyl (Mega),56.6,142,rock,flying,185.5,141,127,3320574,22,2489,Bite,Ancient Power,Earth Power,23,28,5,75000
Sceptile (Mega),56.2,254,grass,dragon,206.6,123.6,118,3011841,22.5,2499,Bullet Seed,Aerial Ace,Breaking Swipe,4,3,3,10000
Absol (Mega),56.1,359,dark,none,222.8,100.2,124,2767288,27.5,2489,Psycho Cut,Brutal Swing,Dark Pulse,4,6,5,75000
Ampharos (Mega),54.8,181,electric,dragon,184.6,132.6,137,3351960,21.5,2491,Charge Beam,Brutal Swing,Dragon Pulse,4,6,5,75000
Gengar (Mega),54.8,94,ghost,poison,217.3,127.9,103,2863769,21,2500,Hex,Dark Pulse,Focus Blast,4,6,3,50000
Abomasnow (Mega),54.4,460,grass,ice,170.1,139.5,154,3654110,27,2493,Leafage,Blizzard,Energy Ball,11,8,3,50000
Groudon (Primal),54,383,fire,ground,187.8,147.8,119,3302159,15.5,2494,Dragon Tail,Earthquake,Fire Blast,8,9,20,100000
Glalie (Mega),53.8,362,ice,none,183.1,128.7,144,3391800,28,2493,Frost Breath,Avalanche,Gyro Ball,9,12,3,50000
Salamence (Mega),53.8,373,dragon,flying,179.7,150.8,128,3466896,18,2496,Bite,Draco Meteor,Fire Blast,33,40,5,75000
Alakazam (Mega),51.9,65,psychic,none,222.2,130.2,96,2778441,20,2487,Confusion,Dazzling Gleam,Fire Punch,5,4,3,50000
Banette (Mega),44.3,354,ghost,none,214.4,114.9,118,2906582,25,2498,Hex,Dazzling Gleam,Return,5,6,3,50000
Gardevoir (Mega),42.9,282,psychic,fairy,199.6,140.9,111,3122126,20.5,2499,Charge Beam,Dazzling Gleam,Psychic,5,5,5,75000
Kangaskhan (Mega),42.3,115,normal,none,164.3,143.3,161,3790335,24,2500,Low Kick,Brick Break,Crunch,8,9,3,50000
Manectric (Mega),36.1,310,electric,none,197.7,126.8,126,3158387,25.5,2499,Charge Beam,Flame Burst,Overheat,5,5,3,50000
